NAME,pop_1841
aberdeenshire,192387
anglesey,50890
angus,170520
argyllshire,97371
ayrshire,164356
banffshire,49679
bedfordshire,107936
berkshire,161147
berwickshire,34438
brecknockshire,53295
buckinghamshire,155983
buteshire,15740
caernarfonshire,81068
caithness,36343
cambridgeshire,164459
cardiganshire,68380
carmarthenshire,106482
cheshire,395650
clackmannanshire,19155
cornwall,341279
cromartyshire,78685
cumberland,178038
denbighshire,89291
derbyshire,272217
devon,533460
dorset,175043
dumfriesshire,72830
dunbartonshire,44295
durham,324284
east lothian,35886
essex,344979
fife,140140
flintshire,66547
glamorgan,173462
gloucestershire,431383
hampshire,355004
herefordshire,113878
hertfordshire,159207
huntingdonshire,58549
inverness-shire,97799
kent,548337
kincardineshire,33075
kinross-shire,8763
kirkcudbrightshire,41119
lanarkshire,426972
lancashire,1667054
leicestershire,215867
lincolnshire,362602
merionethshire,39238
middlesex,1576636
midlothian,225454
monmouthshire,134355
montgomeryshire,69220
morayshire,35012
nairnshire,9217
norfolk,412664
northamptonshire,199228
northumberland,250278
nottinghamshire,249910
orkney,61065
oxfordshire,161643
peeblesshire,10499
pembrokeshire,88262
perthshire,137390
radnorshire,25186
renfrewshire,155072
ross-shire,78685
roxburghshire,45025
rutland,21302
selkirkshire,7090
shetland,0
shropshire,239048
somerset,435992
staffordshire,510504
stirlingshire,82057
suffolk,315073
surrey,582678
sussex,299753
sutherland,24782
warwickshire,401715
west lothian,26872
westmorland,56454
wigtownshire,39195
wiltshire,258733
worcestershire,233836
yorkshire,1591480
